Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
موفد فرانس24: ترقب إعلان الحكومة السودانية وسط استمرار الخلاف بين حمدوك وقوى الحرية,,Legit,,No,,,,MSA,,284,277,4,1,1,1,,15,10156542368625737
101 فرنسية قُتلت على يدي شريكها في 2019.. شهادات عائلات فقدت بناتها,,Legit,,No,,,,MSA,,1.7K,1.3K,57,16,118,140,24,114,10156542380465737
تونس: من هم المرشحون الـ26 للسباق نحو قصر قرطاج؟,,Legit,,No,,,,MSA,,220,213,4,3,,,,22,10156542366145737
🐭🍄🤖 تمكنت 10 نساء فقط ما بين فترة 2003 و2017 من إخراج فيلم رسوم متحركة  🎥 تقرير يسلط الضوء على مخرجتين تمكنتا من الدخول إلى عالم يعتبر في الكثير من الأحيان حكرا على الرجال,,Legit,,No,,,,MSA,,199,193,,5,1,,,4,10156542085195737
"#اليمن: محققو الأمم المتحدة يتحدثون عن ""جرائم حرب"" وأعمال قتل وتعذيب وعنف جنسي",,Legit,,No,,,,MSA,,290,267,1,2,2,5,13,9,10156542143460737
تقرير أممي حول انتهاكات حقوق الانسان في #اليمن: الولايات المتحدة وفرنسا وبريطانيا ربما شاركت في جرائم حرب باليمن,,Legit,,No,,,,MSA,,522,478,4,5,5,20,10,49,10156542113555737
🇿🇦 #جنوب_أفريقيا: معاناة نساء من العنف المنزلي في بلد تقتل فيه امرأة كل ثلاث ساعات ♀️,,Legit,,No,,,,MSA,,380,316,3,,10,36,15,16,10156541936475737
صور نادرة من قرية للـ #روهينغا دمرها جيش #بورما منذ عامين,,Legit,,No,,,,MSA,,619,517,1,3,4,44,50,21,10156541685735737
🇮🇹 جوزيبي كونتي يحث أعضاء حزب حركة خمس نجوم على دعم الائتلاف الحكومي الجديد,,Legit,,No,,,,MSA,,242,232,6,3,,,1,6,10156541736080737
🇲🇦 ارتفاع حصيلة الفيضانات في جنوب #المغرب إلى ثمانية قتلى,,Legit,,No,,,,MSA,,883,736,1,4,14,126,2,51,10156541933815737
⚽ #باريس_سان_جرمان يضم حارس #ريال_مدريد كيلور #نافاس ويعير ألفونس #أريولا إلى النادي الملكي,,Legit,,No,,,,MSA,,342,327,3,5,1,6,,2,10156541717875737
#بريكسيت: جونسون سيدعو إلى انتخابات عامة منتصف أكتوبر في حال واجه هزيمة في البرلمان,,Legit,,No,,,,MSA,,285,274,7,3,,,1,10,10156541716310737
♀️ تموت امرأة فرنسية كل 3 أيام نتيجة العنف الأسري، ما دفع الحكومة الفرنسية إلى تنظيم منتدى للحد من هذه الظاهرة.   🎥 في هذا التقرير التقى فريق فرانس 24 بوالدي #جولي ضحية من ضحايا العنف المنزلي قتلها زوجها في #كورسيكا في #فرنسا #فرنسا🇫🇷 #عنف #المرأة,,Legit,,No,,,,MSA,,1.1K,936,27,5,59,112,6,120,10156541750255737
حسن #نصر_الله يهدد باستهداف عمق #إسرائيل ويؤكد أنه لم تعد هناك خطوط حمراء,,Legit,,No,,,,MSA,,3.5K,2.8K,387,199,21,3,10,817,10156541688635737
#الجزائر: قائد الجيش #قايد_صالح يقول إنه يجب استدعاء الهيئة الناخبة يوم 15 سبتمبر,,Legit,,No,,,,MSA,,809,648,79,36,4,,42,189,10156541716925737
🇱🇧🇮🇱 #حسن_نصر_الله يهدد باستهداف عمق #إسرائيل في حال شنت هجوما آخر ضد #حزب_الله و #لبنان #إسرائيل #لبنان #نصر_الله #نتنياهو,,Legit,,No,,,,MSA,,1.6K,1.3K,208,84,10,1,6,225,10156541685165737
🇮🇶🇰🇼 #العراق يتقدم بشكوى لمجلس الأمن ضد #الكويت بتهمة التغيير الجغرافي لحدود البلدين,,Legit,,No,,,,MSA,,306,283,12,5,4,1,1,32,10156541664270737
منتدى في فرنسا للحد من ظاهرة العنف الأسري.,,Legit,,No,,,,MSA,,7.1K,6.1K,58,150,255,513,51,168,10156541674625737
🇬🇧 #جونسون يدعو إلى انتخابات منتصف الشهر القبل إذا واجه هزيمة في البرلمان,,Legit,,No,,,,MSA,,228,218,4,2,2,1,1,5,10156541619170737
إيران: وفد اقتصادي رفيع برئاسة مساعد وزير الخارجية يصل إلى باريس لبحث الملف النووي,,Legit,,No,,,,MSA,,287,280,3,4,,,,2,10156541618340737
🇹🇳🎥 رأي الشارع التونسي حول الانتخابات الرئاسية تقرير سيف الدين المشاط مراسل فرانس 24 في #تونس,,Legit,,No,,,,MSA,,2.2K,2.1K,46,71,2,4,6,82,10156541576945737
هاشتاغ - وفاة إسراء غريب تشغل الرأي العام والسعوديون ينقسمون حول دمج البنين والبنات في الصفوف الأولية,,Legit,,No,,,,MSA,,576,553,2,4,2,15,,18,10156541565905737
#اليمن: ما مستقبل التحالف؟,,Legit,,No,,,,MSA,,165,159,4,1,,1,,11,10156541539100737
أفغانستان: قتلى وجرحى في تفجير انتحاري بكابول تبنته حركة طالبان https://f24.my/5RFq.f,,Legit,,No,,,,MSA,,311,293,,2,,9,7,13,10156541485500737
الإعصار دوريان: مقتل خمسة أشخاص بجزر الباهاما وإخلاء مئات الآلاف من السواحل الأمريكية https://f24.my/5RFL.f,,Legit,,No,,,,MSA,,657,588,8,13,20,27,1,27,10156541392640737
🇾🇪 تظاهر مئات المحتجين في اليمن الاثنين أمام مطار #صنعاء الدولي للمطالبة بإعادة فتحه، بعد أكثر من ثلاثة أعوام على إعلان قوات تحالف دعم الحكومة الشرعية عن وقف الرحلات فيه.  #اليمن,,Legit,,No,,,,MSA,,336,312,2,8,1,11,2,11,10156539903920737
🇮🇷 #جواد_ظريف: لا يمكن تحقيق الأمن الإقليمي إلا من خلال التعاون بين دول #الخليج,,Legit,,No,,,,MSA,,332,322,4,4,1,,1,20,10156539837920737
عاجل - وكالة الأنباء الجزائرية: قائد الجيش قايد صالح يقول إنه يجب استدعاء الهيئة الناخبة يوم 15 سبتمبر/أيلول,,Legit,,No,,,,MSA,,3.7K,3.1K,305,186,13,2,43,489,10156539810345737
🇾🇪 #اليمن: غريفيث يدعو لفتح تحقيق بعد مقتل أكثر من 100 معتقل في قصف للتحالف,,Legit,,No,,,,MSA,,269,245,1,1,,10,12,20,10156539803760737
🇬🇧 #بريطانيا تعتزم إرسال طائرات مسيرة للخليج لمواجهة التهديدات الإيرانية,,Legit,,No,,,,MSA,,539,486,40,3,7,,3,30,10156539639760737
🇬🇧 #بوريس_جونسون يهدد بإقصاء نواب من حزبه مع بدء أسبوع حاسم للـ #بريكست,,Legit,,No,,,,MSA,,318,303,9,3,1,1,1,7,10156539630945737
"ولاية #فلوريدا تجلي مئات الآلاف من سكانها تحسبا لمرور إعصار #دوريان ""الكارثي""",,Legit,,No,,,,MSA,,476,438,19,8,8,2,1,35,10156539552035737
🇱🇧🇮🇱 #لبنان-إسرائيل: #واشنطن تدعم حق #إسرائيل في الدفاع عن نفسها و #باريس تدعو تفادي التصعيد,,Legit,,No,,,,MSA,,723,646,37,5,1,1,33,51,10156539423475737
#تونس: مقتل رجل أمن وثلاثة مسلحين في عملية أمنية قبل نحو أسبوعين من الانتخابات الرئاسية 🇹🇳,,Legit,,No,,,,MSA,,893,828,2,9,10,33,11,66,10156539403210737
قراءة في الصحافة العالمية - هل يعدّ #حزب_الله مفاجآت أخرى لإسرائيل؟,,Legit,,No,,,,MSA,,417,390,18,8,1,,,39,10156539338025737
🌪️ إعصار #دوريان يصبح ثاني أقوى أعاصير المحيط الأطلسي المسجلة,,Legit,,No,,,,MSA,,1.7K,1.6K,14,12,84,39,2,53,10156539329510737
#ألمانيا: اليمين المتطرف يحقق نتائج لافتة في انتخابات المقاطعات حسب الاستطلاعات,,Legit,,No,,,,MSA,,505,463,5,14,12,5,6,29,10156539311195737
🇹🇳 #تونس انطلاق الحملة الانتخابية للرئاسية المبكرة,,Legit,,No,,,,MSA,,317,296,7,12,1,1,,18,10156539320095737
#فرنسا: المحققون يستبعدون فرضية العمل الإرهابي عن عملية الطعن قرب #ليون,,Legit,,No,,,,MSA,,251,240,6,1,3,,1,19,10156539309970737
الانتخابات الرئاسية التونسية: انطلاق الحملة الانتخابية بمشاركة 26 مترشحا 🇹🇳,,Legit,,No,,,,MSA,,354,329,14,9,1,,1,38,10156539273500737
هونغ كونغ: المتظاهرون يحاولون مجددا تعطيل حركة المترو داعين إلى إضراب عام في البلاد https://f24.my/5R0H.f,,Legit,,No,,,,MSA,,299,287,1,5,4,,2,9,10156539240315737
"واشنطن تعلن دعمها ""بالكامل"" لحق إسرائيل في الدفاع عن نفسها إثر التصعيد مع حزب الله https://f24.my/5QzW.f",,Legit,,No,,,,MSA,,604,453,76,7,2,2,64,85,10156539128885737
هدوء حذر على الحدود الجنوبية للبنان بعد تصعيد عسكري بين حزب الله وإسرائيل https://f24.my/5Qz3.f,,Legit,,No,,,,MSA,,406,386,11,6,2,1,,24,10156539084000737
قرابة 100 ألف مختف قسريا في #سوريا منذ 2011 https://f24.my/5QLv.f,,Legit,,No,,,,MSA,,267,230,2,1,6,24,4,21,10156532647660737
الانتخابات في #الجزائر.. بين ضغط الجيش ورفض الشارع https://f24.my/5Q9e.f,,Legit,,No,,,,MSA,,258,232,16,6,1,,3,98,10156531974795737
#قطاع_غزة.. أن تكوني امرأة في زمن الحروب المتكررة! https://f24.my/5QMR.f,,Legit,,No,,,,MSA,,210,201,1,1,,7,,5,10156532611690737
في غويانا الفرنسية.. آلاف الأطفال لا يستطيعون الذهاب إلى المدارس! http://f24.my/5QJX,,Legit,,No,,,,MSA,,280,265,1,2,1,9,2,9,10156532379410737
السياحة البيئية مجال جديد لدعم القطاع السياحي التقليدي في #تونس https://f24.my/5QII.f,,Legit,,No,,,,MSA,,296,285,5,6,,,,3,10156532223895737
تعليق عدد من الرحلات في مطار #هونغ_كونغ بعد استهدافه من قبل مئات المحتجين https://f24.my/5QwN.f,,Legit,,No,,,,MSA,,338,326,3,5,1,1,2,8,10156538336830737
"🇮🇷 #إيران تكشف عن طائرة مسيرة قتالية قادرة على ضرب أهداف خارج البلاد ""بدقة عالية جدا"" https://f24.my/5Qw6.f",,Legit,,No,,,,MSA,,2K,1.8K,161,83,21,3,4,120,10156538285280737
"🇱🇧🇮🇱 هل انتهى التصعيد بين #حزب_الله وإسرائيل أم أنها ""جولة أولى"" فقط؟ https://f24.my/5Qvv.f",,Legit,,No,,,,MSA,,375,356,14,2,,1,2,24,10156538243110737
#اليمن: الصليب الأحمر يعلن مصرع أكثر من 100 شخص في غارة التحالف على سجن #ذمار https://f24.my/5QvW.f,,Legit,,No,,,,MSA,,353,295,1,2,3,27,25,16,10156538172165737
"🇱🇧 🇮🇱 🇧🇭 #البحرين تنتقد هجوم #حزب_الله على إسرائيل وتدعو مواطنيها لمغادرة #لبنان ""فورا"" https://f24.my/5Qv1.f",,Legit,,No,,,,MSA,,2.8K,1.6K,797,28,69,12,281,430,10156538070215737
"🌪 العاصفة دوريان تبلغ الفئة الخامسة ""الأخطر"" والمركز الأمريكي للأعصاير يحذر من ""الكارثة"" https://f24.my/5QuE.f",,Legit,,No,,,,MSA,,1.9K,1.7K,24,51,77,26,2,134,10156537939595737
تأجيل جديد لإعلان تشكيلة أول حكومة سودانية في مرحلة ما بعد البشير https://f24.my/5QsJ.f,,Legit,,No,,,,MSA,,297,286,4,5,2,,,7,10156537645345737
حزب الله يعلن تدمير آلية عسكرية إسرائيلية قرب الحدود وإسرائيل ترد بقصف قرية حدودية https://f24.my/5Qrq.f,,Legit,,No,,,,MSA,,1.3K,1.2K,41,61,16,2,8,81,10156537569200737
القوات الأفغانية تعلن طرد طالبان من قندوز غداة هجوم حاولت خلاله الاستيلاء على المدينة https://f24.my/5QrB.f,,Legit,,No,,,,MSA,,394,382,5,6,1,,,1,10156537470320737
عاجل - الجيش الإسرائيلي يعلن إطلاق صاروخ مضاد للدبابات من لبنان باتجاه شمال إسرائيل,,Legit,,No,,,,MSA,,3.9K,3.6K,159,113,26,8,19,163,10156537393290737
قيادة الجيش اللبناني تحظر استعمال الطائرات المسيرة خلال إحياء ذكرى عاشوراء https://f24.my/5QqX.f,,Legit,,No,,,,MSA,,337,322,10,3,2,,,4,10156537358260737
روحاني يؤكد لماكرون ضرورة التزام الاتحاد الأوروبي بتعهداته بشأن الاتفاق النووي https://f24.my/5QpI.f,,Legit,,No,,,,MSA,,272,262,8,2,,,,7,10156537163340737
التحالف العسكري بقيادة السعودية يقصف سجنا تابعا للحوثيين بمدينة ذمار اليمنية https://f24.my/5Qp8.f,,Legit,,No,,,,MSA,,470,425,4,5,1,12,23,15,10156537152260737
انتخابات شرق ألمانيا: ترقب ومخاوف من صعود اليمين الشعبوي https://f24.my/5Qou.f,,Legit,,No,,,,MSA,,363,350,5,5,2,,1,20,10156537121690737
الحرب التجارية بين الصين والولايات المتحدة: جولة جديدة من فرض الرسوم الجمركية بين الدولتين https://f24.my/5QoL.f,,Legit,,No,,,,MSA,,314,306,4,2,,2,,6,10156537042760737
مقتل خمسة أشخاص في إطلاق نار عشوائي بولاية تكساس الأمريكية والشرطة تقتل المهاجم https://f24.my/5Qly.f,,Legit,,No,,,,MSA,,604,552,19,7,13,11,2,19,10156536997070737
مصرع أربعين من قيادات الجهاديين إثر ضربات أمريكية استهدفت اجتماعا لهم قرب #إدلب https://f24.my/5Qhh.f,,Legit,,No,,,,MSA,,600,546,24,15,5,4,6,33,10156535729720737
🇨🇦 العنصرية ورهاب الأجانب.. الوجه الآخر للهجرة إلى #كندا https://f24.my/5NOl.f,,Legit,,No,,,,MSA,,443,420,7,,3,4,9,15,10156535420375737
ريبورتاج: #سراقب السورية باتت مدينة أشباح لقربها من خطوط المعارك في #إدلب https://f24.my/5Qfk.f,,Legit,,No,,,,MSA,,337,306,2,2,1,24,2,18,10156535414495737
"زعيم السكان الأصليين في البرازيل يدعو العالم لإنقاذ ""رئة الأرض"" غابات الأمازون https://f24.my/5Qdd.f",,Legit,,No,,,,MSA,,579,545,14,3,2,15,,14,10156535124635737
#إيطاليا.. هل بدأت حلحلة الأزمة السياسية ؟ https://f24.my/5QHt.f,,Legit,,No,,,,MSA,,113,112,,1,,,,2,10156532174335737
#كندا.. البيئة محور أساسي في الحملة الانتخابية لترودو ومنافسه الرئيسي أندرو شير https://f24.my/5QHc.f,,Legit,,No,,,,MSA,,274,267,,7,,,,5,10156532166410737
"#المغرب: كيف يعيش المصابون بمرض ""أطفال القمر""؟ https://f24.my/5QHY.f",,Legit,,No,,,,MSA,,532,457,,9,1,65,,17,10156532160295737
"""حي الدهشة"" رواية للسورية مها حسن تعود بنا إلى حلب ما قبل الحرب https://f24.my/5QHR.f",,Legit,,No,,,,MSA,,222,216,2,4,,,,4,10156532158915737
#ليبيا.. أنواع من الأسماك مهددة بالانقراض بسبب انتهاك قوانين الصيد https://f24.my/5QHQ.f,,Legit,,No,,,,MSA,,403,378,2,,4,11,8,21,10156532158025737
🇹🇷 #أردوغان يهدد بشن عملية عسكرية في سوريا لفرض سيطرة تركيا على #المنطقة_الآمنة https://f24.my/5Qi2.f,,Legit,,No,,,,MSA,,687,578,56,8,6,1,38,51,10156535878785737
هونغ كونغ: اندلاع صدامات عنيفة قرب البرلمان بعد خروج مظاهرة محظورة https://f24.my/5QdV.f,,Legit,,No,,,,MSA,,494,466,3,1,14,8,2,6,10156535859195737
"🇱🇧🇮🇱 #إسرائيل تعزز قواتها قرب #لبنان ونصر الله يؤكد أن رد حزبه ""محسوم"" https://f24.my/5Qhp.f",,Legit,,No,,,,MSA,,1.2K,1.1K,73,44,10,,2,72,10156535741520737
إيران تنفي انفجار صاروخ كان يحمل قمرا اصطناعيا ردا على نشر ترامب صورة للحادث https://f24.my/5QeB.f,,Legit,,No,,,,MSA,,652,614,26,4,5,,3,8,10156535196655737
"🇫🇷  #فرنسا: مقتل شخص وجرح آخرين ""طعنا"" قرب مدينة #ليون وشهود عيان يروون لحظات ""الرعب""!! https://f24.my/5Qfp.f",,Legit,,No,,,,MSA,,516,456,10,2,23,18,7,15,10156535596010737
قبول ملفات 26 مرشحا للانتخابات الرئاسية التونسية المبكرة ضمن قائمة نهائية https://f24.my/5Qf9.f,,Legit,,No,,,,MSA,,251,243,3,4,1,,,2,10156535343320737
"🇫🇷 فرنسا: مقتل شخص وجرح آخرين ""طعنا"" قرب مدينة #ليون https://f24.my/5Qfp.f",,Legit,,No,,,,MSA,,433,368,7,3,21,28,6,19,10156535422535737
توجيه تهمة حيازة أموال أجنبية بطريقة غير مشروعة للرئيس السوداني السابق عمر البشير https://f24.my/5QcA.f,,Legit,,No,,,,MSA,,528,482,32,12,1,,1,36,10156534932365737
مظاهرات عدة في بريطانيا تنديدا بتعليق بوريس جونسون أعمال البرلمان https://f24.my/5Qc8.f,,Legit,,No,,,,MSA,,325,308,13,2,2,,,10,10156534931110737
مظاهرة جديدة للمعارضة الروسية في موسكو قبل أسبوع من الانتخابات المحلية https://f24.my/5Qc7.f,,Legit,,No,,,,MSA,,284,274,5,4,,,1,7,10156534926745737
سوريا: دخول وقف إطلاق النار في إدلب حيز التنفيذ وتوقف الغارات الجوية فوق المحافظة https://f24.my/5QbD.f,,Legit,,No,,,,MSA,,358,353,1,3,,1,,10,10156534833795737
"غارات جوية إماراتية على عدن: الحكومة اليمنية ترفض ""تبريرات"" الإمارات ""الزائفة"" https://f24.my/5Qb9.f",,Legit,,No,,,,MSA,,494,451,6,4,2,10,21,33,10156534823415737
الولايات المتحدة تفرض عقوبات على ناقلة النفط الإيرانية أدريان داريا 1 https://f24.my/5Qas.f,,Legit,,No,,,,MSA,,360,318,27,5,2,,8,11,10156534786610737
ولاية فلوريدا الأمريكية تعلن حالة الطوارئ استعدادا لوصول إعصار دوريان https://f24.my/5Qai.f,,Legit,,No,,,,MSA,,715,644,25,19,22,5,,61,10156534769855737
الهند: نحو مليوني شخص أغلبيتهم من المسلمين قد يصبحون بلا جنسية https://f24.my/5QaU.f,,Legit,,No,,,,MSA,,765,586,8,10,9,55,97,69,10156534730890737
إسبانيا: 155 مهاجرا يدخلون سبتة بعد اجتيازهم الأسلاك الشائكة شمال المغرب https://f24.my/5QVi.f,,Legit,,No,,,,MSA,,1.4K,1.2K,54,54,17,8,6,75,10156533452290737
ريبورتاج: النازحون في مخيم أطمة شمال سوريا.. فروا من الموت إلى حياة مزرية https://f24.my/5QVg.f,,Legit,,No,,,,MSA,,253,222,1,1,,29,,5,10156533447945737
المتظاهرون الجزائريون يصرون على مدنية الدولة في الجمعة الـ28 من الحراك الشعبي https://f24.my/5QVe.f,,Legit,,No,,,,MSA,,873,725,78,63,2,1,4,144,10156533442940737
الصراع بين حكومة هادي والانفصاليين.. تصدع في التحالف السعودي الإماراتي في اليمن؟ https://f24.my/5Q3u.f,,Legit,,No,,,,MSA,,262,257,2,1,1,1,,22,10156533438215737
"#مصر.. هل أخفقت ""الأذرع الإعلامية"" للسلطة؟ https://f24.my/5QIA.f",,Legit,,No,,,,MSA,,222,205,7,3,2,,5,21,10156532212715737
#فنزويلا.. اعتقالات تعسفية وتلفيق قضايا جنائية بحق معتقلين سياسيين https://f24.my/5QHH.f,,Legit,,No,,,,MSA,,144,139,3,,,2,,5,10156532144285737
متى نلجأ إلى سحب عصب الأسنان؟ https://f24.my/5QGI.f,,Legit,,No,,,,MSA,,354,349,1,4,,,,11,10156532102310737
هادي يضع #الإمارات في قفص الاتهام ويسلم مفاتحه إلى  #السعودية.. https://f24.my/5QAP.f,,Legit,,No,,,,MSA,,313,298,7,5,1,,2,11,10156531979550737
بريطانيا.. ما هي تداعيات قرار جونسون تعليق البرلمان؟ https://f24.my/5QLB.f,,Legit,,No,,,,MSA,,91,88,1,2,,,,1,10156532478065737
#الـمغرب.. لـماذا الإقبال الكبير على الخدمة العسكرية؟ https://f24.my/5Q9U.f,,Legit,,No,,,,MSA,,1K,930,88,22,7,2,4,168,10156531973590737
اليابان تدعو المستثمرين الأجانب لعدم إغراق الدول الأفريقية في الديون.. والصين ترد https://f24.my/5QRt.f,,Legit,,No,,,,MSA,,1.3K,1.2K,19,22,3,2,1,33,10156533171590737
"تسريب فيديوهات جنسية لسياسيين إيرانيين: ""هذا يظهر نفاقهم"" https://f24.my/5QR.f",,Legit,,No,,,,MSA,,1.8K,1.4K,228,20,62,2,21,175,10156533107115737
بريكسيت: محكمة إسكتلندية ترفض الطعن في قرار رئيس الوزراء البريطاني تعليق البرلمان https://f24.my/5QRL.f,,Legit,,No,,,,MSA,,331,323,2,3,2,,1,2,10156533072885737
"قيادي سابق في حركة القوات المسلحة الثورية الكولومبية ""الفارك"" يعلن استئناف القتال https://f24.my/5QRB.f",,Legit,,No,,,,MSA,,390,367,3,5,10,4,1,10,10156533071430737
#هونغ_كونغ: السلطات توقف عددا من أبرز ناشطي الاحتجاجات وتحظر مظاهرة السبت https://f24.my/5QOW.f,,Legit,,No,,,,MSA,,285,265,3,1,3,8,5,9,10156532771325737
هذا الصيف.. ديناصور وكواكب جديدة وتوجه نحو خلط الحيوان بالإنسان 🦕🌑🌍,,Legit,,No,,,,MSA,,653,598,33,4,11,2,5,19,10156532460630737
الشرق الأوسط: الأزمة في عدن تكشف الخلافات حول #اليمن؟ https://f24.my/5Q7A.f,,Legit,,No,,,,MSA,,190,186,2,2,,,,,10156531976245737
"#لبنان يعلن عدم تلقيه أي طلب لدخول ناقلة النفط الإيرانية "" أدريان داريا 1"" موانئه",,Legit,,No,,,,MSA,,285,281,1,2,1,,,2,10156532617350737
"🇮🇷🇺🇸 #جواد_ظريف يستخدم نبرة صارمة أمام الأمريكيين ويتهمهم ""بممارسة ""الإرهاب الاقتصادي #الولايات_المتحدة #واشنطن #ترامب #إيران #طهران",,Legit,,No,,,,MSA,,539,505,12,18,,1,3,16,10156532716330737
🇩🇿 رئيس الحكومة الجزائرية السابق عبد المالك #سلال يمثل أمام القضاء في قضايا فساد,,Legit,,No,,,,MSA,,561,493,40,24,,,4,49,10156532562575737
🇾🇪🇪🇬 اليمنيون في #مصر: من ويلات الحرب إلى التهميش #اليمن #صنعاء #القاهرة,,Legit,,No,,,,MSA,,330,300,4,6,2,16,2,53,10156532525415737
كيف تحولت الطائرات المسيرة المدنية إلى أدوات حربية؟,,Legit,,No,,,,MSA,,206,201,3,2,,,,5,10156532458055737
سكان مدينة #رجيش بتونس يتفاجؤون بجثة سلحفاة على شاطئ بحرهم 🐢,,Legit,,No,,,,MSA,,457,403,16,3,6,28,1,33,10156532455685737
فوضى وحروب متقطعة في محافظات جنوب #اليمن,,Legit,,No,,,,MSA,,171,163,1,,,7,,14,10156532474395737
280 مليون شخص مهددون بالنزوح بسبب ارتفاع منسوب المحيطات 🌊,,Legit,,No,,,,MSA,,755,700,14,10,21,10,,29,10156532422615737
🇱🇧 مجلس الأمن يمدد مهمة الجنود الأمميين في جنوب #لبنان,,Legit,,No,,,,MSA,,206,202,3,1,,,,10,10156532175800737
#الكونغو الديمقراطية: حصيلة وفيات المصابين بالإيبولا تتجاوز عتبة الألفين,,Legit,,No,,,,MSA,,377,325,2,2,20,27,1,8,10156532402130737
🎥🇸🇾 الجيش السوري يكثف غاراته على #إدلب ويرسل تعزيزات تحضيرا لهجوم كبير,,Legit,,No,,,,MSA,,485,449,4,6,3,13,10,25,10156532279930737
🇱🇧 مجلس الأمن يمدد مهمة الجنود الأمميين في جنوب #لبنان,,Legit,,No,,,,MSA,,255,249,1,2,,,3,12,10156532171115737
#الإمارات تؤكد شنها غارات جوية ضد ميليشيات إرهابية في جنوب #اليمن,,Legit,,No,,,,MSA,,439,391,11,2,3,3,29,54,10156532169830737
"""إخوان مسلمون"" بأسماء مسيحية.. في #الكويت",,Legit,,No,,,,MSA,,535,455,55,7,15,1,2,28,10156532100690737
مهرجان البندقية السينمائي: المخرجة السعودية هيفاء المنصور تذرف دموع الحزن على واقع المرأة https://f24.my/5QFX.f,,Legit,,No,,,,MSA,,287,253,24,2,,5,3,22,10156532056965737
"#الإمارات تؤكد شنها غارات جوية ضد ""ميليشيات إرهابية"" في جنوب #اليمن https://f24.my/5QEj.f",,Legit,,No,,,,MSA,,390,333,19,8,1,1,28,92,10156531970000737
"الإمارات تؤكد شنها غارات جوية ضد ""ميليشيات إرهابية"" في جنوب اليمن",,Legit,,No,,,,MSA,,67,63,,1,,,3,,10156531969760737
"ترامب ينشئ قيادة عسكرية خاصة بالفضاء لضمان ""الهيمنة الأمريكية"" عليه",,Legit,,No,,,,MSA,,472,401,58,6,6,,1,30,10156531791730737
الولايات المتحدة تفرض عقوبات على مصرف لبناني لتقديمه خدمات مالية لحزب الله,,Legit,,No,,,,MSA,,342,307,23,5,3,1,3,14,10156531702565737
"على خطى #ترامب،  #جونسون متهم ب""فضيحة دستورية""..لماذا؟",,Legit,,No,,,,MSA,,65,63,1,1,,,,2,10156529456250737
السيجارة الإلكترونية : هل يتكرر سيناريو السيجارة التقليدية ؟ https://f24.my/5Pf1.f,,Legit,,No,,,,MSA,,202,199,,2,1,,,7,10156527548220737
النقاش - الشرق الأوسط: الأزمة في عدن تكشف الخلافات حول اليمن؟,,Legit,,No,,,,MSA,,137,134,,2,1,,,5,10156530839045737
#النووي_الإيراني.. هل نزعت #قمة_مجموعة_السبع فتيل التوتر بين طهران وواشنطن؟ https://f24.my/5PKG.f,,Legit,,No,,,,MSA,,100,96,3,1,,,,2,10156525044060737
#ليبيا.. الطريق المسدود؟ https://f24.my/5PpB.f,,Legit,,No,,,,MSA,,103,99,4,,,,,7,10156529457065737
كوستاريكا.. خطط حكومية لتحويل وقود المواصلات العامة من المحروقات إلى الكهرباء https://f24.my/5PHJ.f,,Legit,,No,,,,MSA,,245,242,,2,1,,,3,10156524795420737
#إيران.. إنجاز طبي في مجال جراحة العظام,,Legit,,No,,,,MSA,,495,470,3,18,3,,1,12,10156524834400737
#اليمن: ما سر الانتصارات السريعة لقوات هادي على الانفصاليين؟ https://f24.my/5PqJ.f,,Legit,,No,,,,MSA,,169,164,5,,,,,17,10156529455625737
"اليمن: الانفصاليون الجنوبيون يستقدمون تعزيزات عسكرية كبرى إلى عدن استعدادا ""للزحف نحو أبين وشبوة""",,Legit,,No,,,,MSA,,493,443,11,4,6,9,20,32,10156530753285737
ترامب يعلن الإبقاء على 8600  جندي أمريكي في أفغانستان بعد الاتفاق مع طالبان,,Legit,,No,,,,MSA,,530,496,9,6,2,1,16,20,10156530553595737
قرعة دوري أبطال أوروبا: مجموعة سهلة لمانشستر سيتي ومواجهات صعبة تنتظر برشلونة وريال مدريد وسان جرمان,,Legit,,No,,,,MSA,,470,459,2,8,1,,,6,10156530662925737
هل سيتمكن العلم من كشف تاريخ الوفاة عبر تحليل الدم؟ https://f24.my/5Q3p.f,,Legit,,No,,,,MSA,,364,308,32,5,15,1,3,71,10156530285700737
"بعد أربع سنوات من الحرب الإلكترونية.. شرطة الإنترنت الفرنسية تتغلب على فيروس ""ريتادوب"" الاختراقي",,Legit,,No,,,,MSA,,366,345,12,5,4,,,8,10156530346115737
عاجل - قرعة دوري أبطال أوروبا: باريس سان جرمان - ريال مدريد وبرشلونة - إنتر ميلان وتشيلسي - أجاكس أبرز المواجهات المرتقبة في دور المجموعات,,Legit,,No,,,,MSA,,1.3K,1.3K,9,4,7,,1,11,10156530404020737
منظمة الصحة العالمية: مرض الحصبة يعود بقوة لأوروبا https://f24.my/5Q3l.f,,Legit,,No,,,,MSA,,261,240,,1,13,7,,3,10156530284525737
هل سيتمكن العلم من كشف تاريخ الوفاة عبر تحليل الدم؟,,Legit,,No,,,,MSA,,277,245,25,3,3,,1,36,10156530343825737
